0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:07 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=10 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:07 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=10 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:08 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:09 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:09 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:12 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=11 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:12 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=11 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:12 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:12 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=11&search_type=1 HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:13 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:13 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:15 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:12:15 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:30 +0900] "GET /ITBiz/main HTTP/1.1" 200 35985
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:30 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:37 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 87740
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:39 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 54715
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:41 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 87740
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:47 +0900] "GET /ITBiz/biz/dailyList HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:51 +0900] "GET /ITBiz/biz/weeklySubjectRgst HTTP/1.1" 200 30542
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:51 +0900] "GET /ITBiz/biz/searchAllSubjectList HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:52 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 87740
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:57 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 54715
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:18:59 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 87740
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:19:03 +0900] "GET /ITBiz/main HTTP/1.1" 200 35985
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:19:04 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:26 +0900] "GET /ITBiz/biz/weeklySubjectRgst HTTP/1.1" 200 30542
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:26 +0900] "GET /ITBiz/biz/searchAllSubjectList HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:28 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 54715
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:29 +0900] "GET /ITBiz/biz/weeklyList HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:33 +0900] "GET /ITBiz/biz/weeklyAllList HTTP/1.1" 200 22965
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:33 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:37 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 87740
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:38 +0900] "GET /ITBiz/main HTTP/1.1" 200 35985
0:0:0:0:0:0:0:1 - - [29/Sep/2021:19:23:39 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
